Model,Property,R²,MAE,RMSE
LR,HOMO,-0.14270398577097332,0.09122679840602453,0.13990994527970743
LR,LUMO,-0.2754549839889273,0.11802810486745065,0.16526818555782313
LR,Eg,-0.044938299950086025,0.09136416161300025,0.13841076190188809
SVR,HOMO,0.31668177716531765,0.07733715871298082,0.1081915186731021
SVR,LUMO,0.1950709234409036,0.10269460950514925,0.13129116420245848
SVR,Eg,0.3574410842794473,0.0704795761939601,0.10853779950964018
NN,HOMO,-6.140860603511778,0.27123007547287714,0.3497494122065905
NN,LUMO,-3.1585960623074243,0.25009531148274744,0.2984214666782431
NN,Eg,-3.974987723867484,0.2675440638617864,0.3020094568045393
NN_Multi,HOMO,-2.68341696383855,0.18885255577450707,0.251192783007049
NN_Multi,LUMO,-1.059348913337327,0.1617133930145748,0.2100011432070476
NN_Multi,Eg,-1.816838166816881,0.20368935595012846,0.22725083297846574
